Website URL,Cookie Names,Domain,Host,Purpose,Description,Cookie URL,Is Secure,Is HTTP only?,Path
https://cookiepedia.co.uk/host/mailchimp.com,__qca,https://www.quantcast.com/,Quantcast,Targeting/Advertising,"This is a cookie usually associated with Quantcast, a digital advertising company.  They provide website rankings, and the data they collect is also used for audience segmentation and targeted advertising.",https://cookiepedia.co.uk/cookies/__qca,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,__utma,https://www.google.com/,Google Analytics service,Targeting/Advertising,This is one of the four main cookies set by the Google Analytics service which enables website owners to track visitor behaviour and measure site performance. This cookie lasts for 2 years by default and distinguishes between users and sessions. It it used to calculate new and returning visitor statistics. The cookie is updated every time data is sent to Google Analytics. The lifespan of the cookie can be customised by website owners.,https://cookiepedia.co.uk/cookies/__utma,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,__utmb,https://www.google.com/,Google Analytics service,Targeting/Advertising,"This is one of the four main cookies set by the Google Analytics service which enables website owners to track visitor behaviour and measure site performance. This cookie determines new sessions and visits and expires after 30 minutes. The cookie is updated every time data is sent to Google Analytics. Any activity by a user within the 30 minute life span will count as a single visit, even if the user leaves and then returns to the site. A return after 30 minutes will count as a new visit, but a returning visitor.",https://cookiepedia.co.uk/cookies/__utmb,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,__utmv,Unknown,Unknown,Targeting/Advertising,No Resources Found,https://cookiepedia.co.uk/cookies/__utmv,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,__utmx,https://www.google.com/,Google Website Optimizer,Targeting/Advertising,"This cookie is associated with Google Website Optimizer, a tool designed to help site owners improve their wbesites. It is used to distinguish between two varaitions a webpage that might be shown to a visitor as part of an A/B split test.  This helps site owners to detemine which version of a page performs better, and therefore helps to improve the website.",https://cookiepedia.co.uk/cookies/__utmx,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,__utmxx,https://www.google.com/,Google Website Optimizer,Targeting/Advertising,"This cookie is associated with Google Website Optimizer, a tool designed to help site owners improve their wbesites.  It is used to distinguish between two varaitions a webpage that might be shown to a visitor as part of an A/B split test.  This helps site owners to detemine which version of a page performs better, and therefore helps to improve the website.",https://cookiepedia.co.uk/cookies/__utmxx,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,__utmz,https://www.google.com/,Google Analytics service,Targeting/Advertising,This is one of the four main cookies set by the Google Analytics service which enables website owners to track visitor behaviour measure of site performance. This cookie identifies the source of traffic to the site - so Google Analytics can tell site owners where visitors came from when arriving on the site. The cookie has a life span of 6 months and is updated every time data is sent to Google Analytics.,https://cookiepedia.co.uk/cookies/__utmz,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,_abck,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/_abck,Yes,Yes,/ 
https://cookiepedia.co.uk/host/mailchimp.com,_ga,Unknown,Unknown,Targeting/Advertising,_ga,https://cookiepedia.co.uk/cookies/_ga,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,_mcid,Unknown,Unknown,Targeting/Advertising,"This cookie is set to provide necessary services available through its websites and some of its features, including access to secure areas.",https://cookiepedia.co.uk/cookies/_mcid,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,ak_bmsc,https://www.akamai.com/,Akamai,Targeting/Advertising,This cookie is associated with Akamai and is used to differentiate between traffic from humans and bots.,https://cookiepedia.co.uk/cookies/ak_bmsc,No,Yes,/ 
https://cookiepedia.co.uk/host/mailchimp.com,bm_sz,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/bm_sz,Yes,Yes,/ 
https://cookiepedia.co.uk/host/mailchimp.com,km_ai,https://www.kissmetrics.io/,Kissmetrics analytics service,Targeting/Advertising,Cookie set by Kissmetrics analytics service.  Used to provide site owners with information about how visitors use the site.,https://cookiepedia.co.uk/cookies/km_ai,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,km_lv,https://www.kissmetrics.io/,Kissmetrics analytics service,Targeting/Advertising,Cookie set by Kissmetrics analytics service.  Used to provide site owners with information about how visitors use the site.,https://cookiepedia.co.uk/cookies/km_lv,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,km_ni,https://www.kissmetrics.io/,Kissmetrics analytics service,Targeting/Advertising,Cookie set by Kissmetrics analytics service.  Used to provide site owners with information about how visitors use the site.,https://cookiepedia.co.uk/cookies/km_ni,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,km_uq,https://www.kissmetrics.io/,Kissmetrics analytics service,Targeting/Advertising,Cookie set by Kissmetrics analytics service.  Used to provide site owners with information about how visitors use the site.,https://cookiepedia.co.uk/cookies/km_uq,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,km_vs,Unknown,Unknown,Targeting/Advertising,Social Media sharing tracking cookie.,https://cookiepedia.co.uk/cookies/km_vs,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,MC_PREACCT_REFERRER,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/MC_PREACCT_REFERRER,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,MintUnique,Unknown,Mint Analytics software,Targeting/Advertising,Cookie set by the Mint Analytics software used on a site a record visitor activity on the site.  Generally used for measuring and improving site performance.,https://cookiepedia.co.uk/cookies/MintUnique,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,mp_2105b3b36e341a1ff50e11faaf276d18_mixpanel,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/mp_2105b3b36e341a1ff50e11faaf276d18_mixpanel,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,QA,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/QA,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,vp585-339vn531a4_r,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/vp585-339vn531a4_r,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,__utmc,https://www.google.com/,Google Analytics service,Targeting/Advertising,This is one of the four main cookies set by the Google Analytics service which enables website owners to track visitor behaviour and measure site performance. It is not used in most sites but is set to enable interoperability with the older version of Google Analytics code known as Urchin.  In this older versions this was used in combination with the __utmb cookie to identify new sessions/visits for returning visitors.When used by Google Analytics this is always a Session cookie which is destroyed when the user closes their browser. Where it is seen as a Persistent cookie it is therefore likely to be a different technology setting the cookie.,https://cookiepedia.co.uk/cookies/__utmc,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,_AVESTA_ENVIRONMENT,Unknown,Unknown,Targeting/Advertising,This cookie is used when a user subscribes to a newsletter mailing list.,https://cookiepedia.co.uk/cookies/_AVESTA_ENVIRONMENT,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,_sm_au_c,Unknown,Unknown,Targeting/Advertising,This cookie is used to check if a user has been authenticated.,https://cookiepedia.co.uk/cookies/_sm_au_c,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,_sm_au_d,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/_sm_au_d,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,fbs_518ac8541a1a94755e4ce22d57b006a0,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/fbs_518ac8541a1a94755e4ce22d57b006a0,No,No,/ 
https://cookiepedia.co.uk/host/mailchimp.com,kvcd,Unknown,Unknown,Targeting/Advertising,Social Media sharing tracking cookie.,https://cookiepedia.co.uk/cookies/kvcd,No,No,/ 
https://cookiepedia.co.uk/host/klaviyo.com,__cf_bm,Unknown,Unknown,Unknown,No Resources Found,https://cookiepedia.co.uk/cookies/__cf_bm,Yes,Yes,/ 
https://cookiepedia.co.uk/host/klaviyo.com,__cfduid,https://www.cloudflare.com/,CloudFlare,Unknown,"Cookie associated with sites using CloudFlare, used to speed up page load times. According to CloudFlare it is used to override any security restrictions based on the IP address the visitor is coming from. It does not contain any user identification information.    ",https://cookiepedia.co.uk/cookies/__cfduid,No,Yes,/ 
https://cookiepedia.co.uk/host/klaviyo.com,csrftoken,Unknown,Unknown,Unknown,This cookie is associated with the Django web development platform for Python. It is designed to help protect a site against at particular type of software attack on web forms.,https://cookiepedia.co.uk/cookies/csrftoken,No,No,/ 
https://cookiepedia.co.uk/host/klaviyo.com,kl_csrftoken,Unknown,Unknown,Unknown,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/kl_csrftoken,Yes,No,/ 
https://cookiepedia.co.uk/host/klaviyo.com,klaPages,Unknown,Unknown,Unknown,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/klaPages,No,No,/ 
https://cookiepedia.co.uk/host/klaviyo.com,OptanonAlertBoxClosed,https://www.onetrust.com/,OneTrust,Unknown,This cookie is set by websites using certain versions of the cookie law compliance solution from OneTrust.  It is set after visitors have seen a cookie information notice and in some cases only when they actively close the notice down.  It enables the website not to show the message more than once to a user.  The cookie has a one year lifespan and contains no personal information.,https://cookiepedia.co.uk/cookies/OptanonAlertBoxClosed,No,No,/ 
https://cookiepedia.co.uk/host/klaviyo.com,OptanonConsent,https://www.onetrust.com/,OneTrust,Unknown,"This cookie is set by the cookie compliance solution from OneTrust. It stores information about the categories of cookies the site uses and whether visitors have given or withdrawn consent for the use of each category. This enables site owners to prevent cookies in each category from being set in the users browser, when consent is not given. The cookie has a normal lifespan of one year, so that returning visitors to the site will have their preferences remembered. It contains no information that can identify the site visitor.",https://cookiepedia.co.uk/cookies/OptanonConsent,No,No,/ 
https://cookiepedia.co.uk/host/klaviyo.com,visid_incap_XXXXXX,Unknown,Unknown,Unknown,No Resources Found,https://cookiepedia.co.uk/cookies/visid_incap_XXXXXX,No,Yes,/ 
https://cookiepedia.co.uk/host/klaviyo.com,incap_ses_*,Unknown,Unknown,Unknown,No Resources Found,https://cookiepedia.co.uk/cookies/incap_ses_*,No,No,/ 
https://cookiepedia.co.uk/host/klaviyo.com,nlbi_XXXXXXX,Unknown,Unknown,Unknown,No Resources Found,https://cookiepedia.co.uk/cookies/nlbi_XXXXXXX,No,No,/ 
